FECHA	PROYECTO	TIPO DE ACTIVIDAD	DESCRIPCION / DETALLE	DURACION (horas)	AVANCE	% ACUMULADO	TECNICO	ESTADO	OBSERVACIONES
20/06/2026	MardiqueWeb	Admin Pagos	AdminPayments.html: confirmar pago, PDF, subir comprobante manual	4	2%	55%	Desarrollador	En desarrollo	PdfService OpenPDF
21/06/2026	MardiqueWeb	Admin Mensajes	AdminMensajes.html: listar mensajes de contacto	2	1%	56%	Desarrollador	En revision	Origen CONTACTO
21/06/2026	MardiqueWeb	Admin Config	AdminConfig.html: CRUD SystemConfig completo	2	1%	57%	Desarrollador	Completado	
22/06/2026	MardiqueWeb	Cloudinary	CloudinaryService: upload files, upload bytes, delete file	3	2%	59%	Desarrollador	En revision	Delete no implementado en controladores
23/06/2026	MardiqueWeb	PDF Receipts	PdfService con OpenPDF: comprobante de pago	2	1%	60%	Desarrollador	En desarrollo	Requiere mejoras formato
23/06/2026	MardiqueWeb	PQRS Sistema	Formulario PQRS -> SupportTicket -> admin responde -> cierra	2	1%	61%	Desarrollador	En revision	Pendiente envio email
24/06/2026	MardiqueWeb	Admin Departamental	Logica admins por departamento: solo ven tickets de su area	2	1%	62%	Desarrollador	Completado	Filtro por departamento
24/06/2026	MardiqueWeb	Seed Data	DataInitializer: usuarios, page content, contactos, config	2	1%	63%	Desarrollador	Completado	Datos semilla completos
25/06/2026	MardiqueWeb	Correccion Bugs	Bug imports Document: conflicto con org.w3c.dom.Document y javax.swing.text.Document	3	1%	64%	Desarrollador	Completado	Import explicito en repositorio y controladores
26/06/2026	MardiqueWeb	Pruebas finales	Verificacion compilacion Maven, revision rutas, estado actual del proyecto	2	1%	65%	Desarrollador	En revision	Proyecto al 60% global estimado
